ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALTHM,AVERAGETHM
92304,10,2022,Gas- Commercial,Y,0,0,
92304,11,2022,Gas- Commercial,Y,0,0,
92304,12,2022,Gas- Commercial,Y,0,0,
92365,10,2022,Gas- Commercial,Y,0,0,
92365,11,2022,Gas- Commercial,Y,0,0,
92365,12,2022,Gas- Commercial,Y,0,0,
93203,10,2022,Gas- Commercial,Y,0,0,
93203,11,2022,Gas- Commercial,Y,0,0,
93203,12,2022,Gas- Commercial,Y,0,0,
93204,10,2022,Gas- Commercial,Y,0,0,
93204,11,2022,Gas- Commercial,Y,0,0,
93204,12,2022,Gas- Commercial,Y,0,0,
93210,10,2022,Gas- Commercial,Y,0,0,
93210,11,2022,Gas- Commercial,Y,0,0,
93210,12,2022,Gas- Commercial,Y,0,0,
93224,10,2022,Gas- Commercial,Y,0,0,
93224,11,2022,Gas- Commercial,Y,0,0,
93224,12,2022,Gas- Commercial,Y,0,0,
93234,10,2022,Gas- Commercial,Y,0,0,
93234,11,2022,Gas- Commercial,Y,0,0,
93234,12,2022,Gas- Commercial,Y,0,0,
93239,10,2022,Gas- Commercial,Y,0,0,
93239,11,2022,Gas- Commercial,Y,0,0,
93239,12,2022,Gas- Commercial,Y,43,"18,715",435
93252,10,2022,Gas- Commercial,Y,0,0,
93252,11,2022,Gas- Commercial,Y,0,0,
93252,12,2022,Gas- Commercial,Y,0,0,
93263,10,2022,Gas- Commercial,Y,0,0,
93263,11,2022,Gas- Commercial,Y,0,0,
93263,12,2022,Gas- Commercial,Y,0,0,
93268,10,2022,Gas- Commercial,Y,0,0,
93268,11,2022,Gas- Commercial,Y,0,0,
93268,12,2022,Gas- Commercial,Y,0,0,
93280,10,2022,Gas- Commercial,Y,0,0,
93280,11,2022,Gas- Commercial,Y,0,0,
93280,12,2022,Gas- Commercial,Y,0,0,
93301,10,2022,Gas- Commercial,N,"1,108","111,266",100
93301,11,2022,Gas- Commercial,N,"1,115","237,761",213
93301,12,2022,Gas- Commercial,N,"1,113","366,615",329
93304,10,2022,Gas- Commercial,N,602,"78,843",131
93304,11,2022,Gas- Commercial,N,601,"121,941",203
93304,12,2022,Gas- Commercial,N,598,"183,184",306
93305,10,2022,Gas- Commercial,N,464,"55,549",120
93305,11,2022,Gas- Commercial,N,466,"102,616",220
93305,12,2022,Gas- Commercial,N,463,"156,246",337
93306,10,2022,Gas- Commercial,Y,0,0,
93306,11,2022,Gas- Commercial,N,386,"129,466",335
93306,12,2022,Gas- Commercial,N,386,"191,424",496
93307,10,2022,Gas- Commercial,Y,663,"90,135",136
93307,11,2022,Gas- Commercial,Y,656,"209,229",319
93307,12,2022,Gas- Commercial,Y,"1,257","633,490",504
93308,10,2022,Gas- Commercial,Y,855,"167,112",195
93308,11,2022,Gas- Commercial,N,470,"136,864",291
93308,12,2022,Gas- Commercial,N,470,"194,680",414
93309,10,2022,Gas- Commercial,N,376,"58,881",157
93309,11,2022,Gas- Commercial,N,378,"106,230",281
93309,12,2022,Gas- Commercial,Y,734,"334,237",455
93311,10,2022,Gas- Commercial,Y,0,0,
93311,11,2022,Gas- Commercial,Y,0,0,
93311,12,2022,Gas- Commercial,Y,0,0,
93313,10,2022,Gas- Commercial,Y,949,"188,491",199
93313,11,2022,Gas- Commercial,Y,953,"350,332",368
93313,12,2022,Gas- Commercial,Y,0,0,
93314,10,2022,Gas- Commercial,Y,0,0,
93314,11,2022,Gas- Commercial,Y,0,0,
93314,12,2022,Gas- Commercial,Y,0,0,
93432,10,2022,Gas- Commercial,Y,0,0,
93432,11,2022,Gas- Commercial,Y,0,0,
93432,12,2022,Gas- Commercial,Y,0,0,
