ZipCode,Month,Year,CustomerClass,Combined,TotalCustomers,TotalkWh,AveragekWh,Day,Date,DateMY
94305,7,2021,Elec- Residential,Y,908,517762,570.0,1,2021-07-01,2021-07
94305,8,2021,Elec- Residential,Y,914,545376,597.0,1,2021-08-01,2021-08
94305,9,2021,Elec- Residential,Y,917,522386,570.0,1,2021-09-01,2021-09
94305,1,2023,Elec- Residential,Y,915,739748,808.0,1,2023-01-01,2023-01
94305,2,2023,Elec- Residential,Y,917,646436,705.0,1,2023-02-01,2023-02
94305,3,2023,Elec- Residential,Y,916,664070,725.0,1,2023-03-01,2023-03
94305,10,2021,Elec- Residential,Y,918,552347,602.0,1,2021-10-01,2021-10
94305,11,2021,Elec- Residential,Y,919,595044,647.0,1,2021-11-01,2021-11
94305,12,2021,Elec- Residential,Y,916,734508,802.0,1,2021-12-01,2021-12
94305,4,2017,Elec- Residential,Y,914,475665,520.0,1,2017-04-01,2017-04
94305,5,2017,Elec- Residential,Y,914,458487,502.0,1,2017-05-01,2017-05
94305,6,2017,Elec- Residential,N,916,470579,514.0,1,2017-06-01,2017-06
94305,1,2018,Elec- Residential,N,914,668683,732.0,1,2018-01-01,2018-01
94305,2,2018,Elec- Residential,N,911,553370,607.0,1,2018-02-01,2018-02
94305,3,2018,Elec- Residential,Y,912,576147,632.0,1,2018-03-01,2018-03
94305,4,2018,Elec- Residential,Y,913,467021,512.0,1,2018-04-01,2018-04
94305,5,2018,Elec- Residential,Y,914,454750,498.0,1,2018-05-01,2018-05
94305,6,2018,Elec- Residential,Y,914,441469,483.0,1,2018-06-01,2018-06
94305,1,2017,Elec- Residential,N,916,732592,800.0,1,2017-01-01,2017-01
94305,2,2017,Elec- Residential,N,913,579320,635.0,1,2017-02-01,2017-02
94305,3,2017,Elec- Residential,N,916,542509,592.0,1,2017-03-01,2017-03
94305,7,2015,Elec- Residential,N,913,529024,579.0,1,2015-07-01,2015-07
94305,8,2015,Elec- Residential,N,918,548876,598.0,1,2015-08-01,2015-08
94305,9,2015,Elec- Residential,N,921,535947,582.0,1,2015-09-01,2015-09
94305,10,2015,Elec- Residential,N,919,538176,586.0,1,2015-10-01,2015-10
94305,11,2015,Elec- Residential,Y,920,652625,709.0,1,2015-11-01,2015-11
94305,12,2015,Elec- Residential,Y,921,728840,791.0,1,2015-12-01,2015-12
94305,1,2021,Elec- Residential,Y,906,716952,791.0,1,2021-01-01,2021-01
94305,2,2021,Elec- Residential,Y,907,568168,626.0,1,2021-02-01,2021-02
94305,3,2021,Elec- Residential,Y,907,581541,641.0,1,2021-03-01,2021-03
94305,10,2018,Elec- Residential,N,918,509173,555.0,1,2018-10-01,2018-10
94305,11,2018,Elec- Residential,N,919,601028,654.0,1,2018-11-01,2018-11
94305,12,2018,Elec- Residential,N,918,693616,756.0,1,2018-12-01,2018-12
94305,4,2015,Elec- Residential,N,864,475123,550.0,1,2015-04-01,2015-04
94305,5,2015,Elec- Residential,N,860,475436,553.0,1,2015-05-01,2015-05
94305,6,2015,Elec- Residential,N,913,472921,518.0,1,2015-06-01,2015-06
94305,7,2018,Elec- Residential,Y,919,481527,524.0,1,2018-07-01,2018-07
94305,8,2018,Elec- Residential,N,918,473047,515.0,1,2018-08-01,2018-08
94305,9,2018,Elec- Residential,N,920,458463,498.0,1,2018-09-01,2018-09
94305,1,2015,Elec- Residential,N,863,677500,785.0,1,2015-01-01,2015-01
94305,2,2015,Elec- Residential,N,864,529491,613.0,1,2015-02-01,2015-02
94305,3,2015,Elec- Residential,N,866,523989,605.0,1,2015-03-01,2015-03
94305,7,2017,Elec- Residential,N,913,493587,541.0,1,2017-07-01,2017-07
94305,8,2017,Elec- Residential,N,912,491263,539.0,1,2017-08-01,2017-08
94305,9,2017,Elec- Residential,N,912,521643,572.0,1,2017-09-01,2017-09
94305,10,2017,Elec- Residential,N,915,504187,551.0,1,2017-10-01,2017-10
94305,11,2017,Elec- Residential,N,913,579987,635.0,1,2017-11-01,2017-11
94305,12,2017,Elec- Residential,N,916,694987,759.0,1,2017-12-01,2017-12
94305,4,2021,Elec- Residential,Y,906,527189,582.0,1,2021-04-01,2021-04
